fold_id,candidate,total_return,Sharpe,CAGR,MDD,exposure,trades,positive_fold,cagr_preservation_pct,mdd_improvement_pct,threshold
0,BUY_AND_HOLD,0.2093119226475415,1.5184560578314794,0.2093119226475415,-0.07376074625768392,0.996031746031746,1,True,100.0,0.0,
0,DUAL_TREND_FILTER,0.08867421397937059,0.952175600303744,0.08867421397937059,-0.05750572982519542,0.7261904761904762,20,True,42.364626370896374,22.037489121519236,
0,LOGISTIC_PRICE_ONLY,0.14940387724937754,1.2968554271570365,0.14940387724937754,-0.07427708630906893,0.8452380952380952,37,True,71.37857956661045,-0.7000201022657393,0.5
0,LOGISTIC_PRICE_PLUS_VOL,0.08815995895226214,1.0575852105190529,0.08815995895226214,-0.051798749700279645,0.4166666666666667,40,True,42.11893801229561,29.774639861532602,0.45
0,LOGISTIC_PRICE_PLUS_RATES,0.0666586143830743,0.5987318582862652,0.0666586143830743,-0.09134275066903474,0.8492063492063492,27,True,31.846544401257137,-23.83653271338649,0.45
0,LOGISTIC_PRICE_PLUS_BREADTH,0.1817203356562176,1.4585583577127033,0.1817203356562176,-0.07284018563234651,0.8928571428571429,13,True,86.81795731350424,1.2480359432934962,0.45
0,LOGISTIC_PRICE_PLUS_CREDIT,0.1874415876087625,1.4449531012416712,0.1874415876087625,-0.06917586832975808,0.9642857142857143,7,True,89.55131902562175,6.215877903280041,0.45
0,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.044677383080811595,0.6058599080544136,0.044677383080811595,-0.053770908083336066,0.4166666666666667,42,True,21.34488208588263,27.100916393271223,0.45
1,BUY_AND_HOLD,0.23921594381311784,1.6778071873068252,0.23921594381311784,-0.08226698197479365,0.996031746031746,1,True,100.0,0.0,
1,DUAL_TREND_FILTER,0.163657536706161,1.7743991921542464,0.163657536706161,-0.057850982670214934,0.6944444444444444,27,True,68.41414250967102,29.67897778486599,
1,LOGISTIC_PRICE_ONLY,0.10288633617252452,0.999799706977659,0.10288633617252452,-0.09913740928389425,0.746031746031746,29,True,43.00981553842506,-20.50692380361011,0.5
1,LOGISTIC_PRICE_PLUS_VOL,0.19482267233286032,1.8492594026391507,0.19482267233286032,-0.056599193820516924,0.6587301587301587,24,True,81.44217698342935,31.200595352022585,0.45
1,LOGISTIC_PRICE_PLUS_RATES,0.18372794842523632,1.518180424679404,0.18372794842523632,-0.0941315156107625,0.8412698412698413,26,True,76.80422362180413,-14.421987231285694,0.5
1,LOGISTIC_PRICE_PLUS_BREADTH,0.10238785699686903,0.8808061080432315,0.10238785699686903,-0.08750679425158614,0.8968253968253969,17,True,42.80143512376302,-6.369277383237361,0.45
1,LOGISTIC_PRICE_PLUS_CREDIT,0.13031194629897613,1.0371596272259311,0.13031194629897613,-0.07722663753161707,0.9365079365079365,13,True,54.47460742866682,6.126813360821875,0.45
1,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.17238455037541134,1.4362627396779508,0.17238455037541134,-0.07544235875990912,0.7857142857142857,30,True,72.06231642740458,8.295701447970428,0.45
2,BUY_AND_HOLD,0.006086354042429409,0.12928343557583832,0.006086354042429409,-0.16083715800102227,0.996031746031746,1,True,100.0,0.0,
2,DUAL_TREND_FILTER,-0.058866478948742196,-0.9130128656585129,-0.058866478948742196,-0.07821560234675784,0.25396825396825395,28,False,-967.187885199745,51.36969384508727,
2,LOGISTIC_PRICE_ONLY,0.03010524373030732,0.43034000942447737,0.03010524373030732,-0.044748894321834154,0.2698412698412698,38,True,494.63510535924405,72.17751489892048,0.55
2,LOGISTIC_PRICE_PLUS_VOL,-0.028725084141893786,-0.15744551347303135,-0.028725084141893786,-0.13573272038710493,0.48412698412698413,37,False,-471.95881050698745,15.608605577175009,0.45
2,LOGISTIC_PRICE_PLUS_RATES,-0.014055560608723261,-0.1553178939488532,-0.014055560608723261,-0.06174872649410257,0.19444444444444445,46,False,-230.93563914847272,61.607922409503104,0.55
2,LOGISTIC_PRICE_PLUS_BREADTH,-0.05584235410678384,-0.31152428874564403,-0.05584235410678384,-0.1503831524997572,0.7380952380952381,31,False,-917.50091627095,6.499745227529219,0.45
2,LOGISTIC_PRICE_PLUS_CREDIT,-0.11395962751649014,-0.7767893064177411,-0.11395962751649014,-0.20101094358625282,0.6031746031746031,35,False,-1872.3792063697033,-24.97792555186483,0.5
2,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.0013122579906656995,0.07276600951773524,0.0013122579906656995,-0.09770955843135798,0.5238095238095238,43,True,21.560658179225847,39.24938761306828,0.45
3,BUY_AND_HOLD,0.31032926470218825,2.4407168244702007,0.31032926470218825,-0.07340734183379571,0.996031746031746,1,True,100.0,0.0,
3,DUAL_TREND_FILTER,0.09136285629814278,1.170555902490519,0.09136285629814278,-0.11659529762060972,0.7777777777777778,23,True,29.44061894575763,-58.83329202220325,
3,LOGISTIC_PRICE_ONLY,0.16346036362931327,1.5903602919391882,0.16346036362931327,-0.07340734183379571,0.5674603174603174,24,True,52.67320302072711,0.0,0.55
3,LOGISTIC_PRICE_PLUS_VOL,0.2864221484221856,2.3041818175032858,0.2864221484221856,-0.07340734183379571,0.9206349206349206,13,True,92.29620954280756,0.0,0.45
3,LOGISTIC_PRICE_PLUS_RATES,0.22273185593684808,1.8787200739993255,0.22273185593684808,-0.07340734183379571,0.9126984126984127,11,True,71.77275277296062,0.0,0.45
3,LOGISTIC_PRICE_PLUS_BREADTH,0.2174262810605634,2.2828025991325225,0.2174262810605634,-0.049472915281521646,0.5,38,True,70.06309291172379,32.604949252167295,0.55
3,LOGISTIC_PRICE_PLUS_CREDIT,0.16007895633728575,1.5673337168909836,0.16007895633728575,-0.07340734183379571,0.5436507936507936,24,True,51.58358380763984,0.0,0.55
3,LOGISTIC_PRICE_PLUS_ALL_REGIME,0.06413785245609205,0.6724969644979522,0.06413785245609205,-0.07693232001558337,0.6587301587301587,41,True,20.667677770461907,-4.801942276793902,0.5
