entry_ts,exit_ts,exit_reason,holding_bars,entry_price,exit_price,net_return,position_scale,max_favorable_excursion,max_adverse_excursion,be_armed,be_arm_ts
2024-03-13 10:20:00,2024-03-13 14:45:00,signal_exit_th,53,73257.55,72461.15,0.008890996663588172,0.19999999999999998,0.02215512257780937,-0.003054429202177724,False,
2024-03-14 08:25:00,2024-03-14 11:25:00,signal_exit_th,36,73518.32,72887.99,0.00658894406316812,0.19999999999999998,0.012123780848093468,-0.00013316408753618957,False,
2024-03-15 19:30:00,2024-03-15 22:30:00,early_exit,36,69842.15,68340.0,-0.023462815170258135,0.19999999999999998,0.0016328248772411525,-0.034769118648266005,False,
2024-03-19 04:55:00,2024-03-19 07:55:00,early_exit,36,65341.18,64704.22,-0.01172674201535942,0.19999999999999998,0.004196434775129625,-0.026999512405499873,False,
2024-03-21 15:15:00,2024-03-21 19:10:00,signal_exit_th,47,66410.88,65200.0,0.016267657791456478,0.19999999999999998,0.0231870139350661,-0.00887083562211486,False,
2024-03-23 19:15:00,2024-03-23 22:15:00,signal_exit_th,36,65291.99,64838.01,0.004964991481714261,0.19999999999999998,0.009481408056332755,-0.00145025446459822,False,
2024-03-24 08:30:00,2024-03-24 11:30:00,early_exit,36,64728.01,64985.42,0.0019708469486239585,0.19999999999999998,0.009897569846500788,-0.0005623531451067544,False,
2024-03-24 12:30:00,2024-03-24 18:25:00,signal_exit_th,71,65544.54,65689.99,-0.004225546345912333,0.19999999999999998,0.014410506199295802,-0.005807501280808573,False,
2024-03-25 14:20:00,2024-03-25 17:20:00,early_exit,36,69148.36,70645.19,0.019605392943965246,0.19999999999999998,0.02226574860199142,-0.005000841668551545,False,
2024-03-25 18:20:00,2024-03-25 21:20:00,signal_exit_th,36,70725.58,69944.96,0.00905740256990545,0.42133194793291645,0.012588514650569168,-0.0060009405366488085,False,
2024-03-26 08:55:00,2024-03-26 13:05:00,signal_exit_th,50,70693.66,70941.1,-0.005509181788355948,0.19999999999999998,0.0023999323277363697,-0.008294095962777942,False,
2024-03-26 14:25:00,2024-03-26 17:55:00,signal_exit_th,42,69586.35,70066.55,-0.008916596047549144,0.19999999999999998,0.00440244387009817,-0.013115359549681713,False,
2024-03-28 16:15:00,2024-03-28 19:20:00,signal_exit_th,37,70634.78,70722.73,-0.003249632079933302,0.19999999999999998,0.0032672289769996995,-0.005783553088152948,False,
2024-03-31 05:50:00,2024-03-31 10:15:00,signal_exit_th,53,70325.99,70297.97,-0.001602774119165187,0.19999999999999998,0.002534198238801916,-0.002047749345583258,False,
2024-03-31 15:40:00,2024-03-31 18:40:00,signal_exit_th,36,70385.07,70948.0,-0.01001587464554683,0.19999999999999998,0.0009573052921593266,-0.01008495125457696,False,
2024-03-31 21:25:00,2024-04-01 00:25:00,signal_exit_th,36,70771.58,71078.0,-0.006340374177011325,0.19999999999999998,0.0018602099882468178,-0.008399134228739816,False,
2024-04-02 02:40:00,2024-04-02 05:40:00,signal_exit_th,36,66696.0,66571.2,-0.00012707922027819978,0.19999999999999998,0.008624955019791292,-0.008737855343648777,False,
2024-04-04 03:20:00,2024-04-04 06:20:00,signal_exit_th,36,65674.0,65594.87,-0.0007946989837843938,0.19999999999999998,0.009280384931632048,-0.0007477845113743731,False,
2024-04-04 17:00:00,2024-04-04 23:00:00,time_stop,72,67826.15,68019.61,-0.004860004517363853,0.19999999999999998,0.007462461012456025,-0.021875928384553885,False,
2024-04-07 02:40:00,2024-04-07 05:40:00,signal_exit_th,36,69470.31,69398.68,-0.0009688498049928712,0.19999999999999998,0.005993063799484938,-0.001051960182702535,False,
2024-04-07 18:40:00,2024-04-07 21:40:00,signal_exit_th,36,69393.16,69201.21,0.000769658551923993,0.19999999999999998,0.007830598865940093,-0.0016651497063976176,False,
2024-04-08 08:15:00,2024-04-08 11:15:00,early_exit,36,71232.45,72364.38,0.013860899409971676,0.19999999999999998,0.019900340364538957,-0.0025613326510599745,False,
2024-04-08 12:15:00,2024-04-08 15:15:00,signal_exit_th,36,72568.68,71785.99,0.008805097520091195,0.2580308079646211,0.018238033267244144,-0.0007071921385369968,False,
2024-04-09 14:30:00,2024-04-09 18:05:00,signal_exit_th,43,69826.99,68871.71,0.011706056622212834,0.19999999999999998,0.02315709154869779,-7.174876075847979e-05,False,
2024-04-12 18:35:00,2024-04-12 21:35:00,signal_exit_th,36,66064.0,66753.11,-0.01245383052585166,0.19999999999999998,0.0005593061273915762,-0.02082828772099782,False,
2024-04-13 17:40:00,2024-04-13 22:20:00,signal_exit_th,56,66972.0,62874.51,0.0593026205743461,0.19999999999999998,0.09423983157140298,-0.004053485038523579,False,
2024-04-14 18:10:00,2024-04-14 22:35:00,signal_exit_th,53,64257.74,65383.45,-0.01955574220004935,0.19999999999999998,0.014493506930060095,-0.01876536585320305,False,
2024-04-15 06:35:00,2024-04-15 09:35:00,early_exit,36,66250.0,66660.13,0.0041802705973272136,0.19999999999999998,0.009314264150943502,-0.0028003018867925143,False,
2024-04-15 11:15:00,2024-04-15 14:15:00,signal_exit_th,36,66292.67,65497.0,0.010024409559531617,0.19999999999999998,0.017248060758451852,-0.001603948068466721,False,
2024-04-16 11:00:00,2024-04-16 15:55:00,signal_exit_th,59,62830.0,61762.2,0.015027088205506219,0.19999999999999998,0.017421295559446152,-0.009437689002069094,False,
2024-04-17 16:25:00,2024-04-17 20:20:00,early_exit,47,60751.83,61330.64,0.0075104117644070175,0.19999999999999998,0.01982804468606125,-0.014003199574399671,False,
2024-04-18 14:20:00,2024-04-18 19:45:00,signal_exit_th,65,63617.66,63272.12,0.003440382577559203,0.19999999999999998,0.020554512693488014,-0.007850493086353584,False,
2024-04-19 05:30:00,2024-04-19 08:30:00,early_exit,36,61900.8,64279.37,0.036350736829082825,0.19999999999999998,0.05295892783291972,-0.002602874276261415,False,
