entry_time,exit_time,pnl,exit_reason,holding_bars
2025-03-02 16:15:00,2025-03-02 19:40:00,0.04193072348139188,early_exit,41
2025-03-03 14:50:00,2025-03-03 20:05:00,0.04756311482634627,signal_exit_th,63
2025-03-04 01:55:00,2025-03-04 06:00:00,-0.012862319777181873,signal_exit_th,49
2025-03-04 14:40:00,2025-03-04 19:50:00,-0.0522059113662558,signal_exit_th,62
2025-03-05 10:40:00,2025-03-05 13:40:00,-0.011481655327167982,early_exit,36
2025-03-07 00:45:00,2025-03-07 03:45:00,-0.01694833062346477,signal_exit_th,36
2025-03-10 14:10:00,2025-03-10 17:10:00,0.01753823125545582,signal_exit_th,36
2025-03-11 17:10:00,2025-03-11 20:10:00,0.016193486389214615,early_exit,36
2025-03-12 14:10:00,2025-03-12 17:10:00,-0.0016993880650801015,signal_exit_th,36
2025-03-13 12:45:00,2025-03-13 16:15:00,0.018696204835689133,signal_exit_th,42
2025-03-14 03:20:00,2025-03-14 06:20:00,-0.0009250163886009163,signal_exit_th,36
2025-03-14 14:10:00,2025-03-14 17:10:00,-0.020857034489153048,signal_exit_th,36
2025-03-14 18:35:00,2025-03-14 21:45:00,0.003388966761291538,signal_exit_th,38
2025-03-18 14:00:00,2025-03-18 18:50:00,-0.0073735273402201415,signal_exit_th,58
2025-03-19 01:00:00,2025-03-19 04:00:00,-0.0012127408722782385,signal_exit_th,36
2025-03-19 16:20:00,2025-03-19 23:10:00,-0.021294740194740255,signal_exit_th,82
2025-03-20 18:25:00,2025-03-20 21:25:00,0.0033107228139610347,early_exit,36
2025-03-21 16:40:00,2025-03-21 19:40:00,-0.0024427852364885794,signal_exit_th,36
2025-03-22 21:20:00,2025-03-23 00:35:00,-0.001925204320979406,signal_exit_th,39
2025-03-23 11:15:00,2025-03-23 14:15:00,-0.00029389654977021967,early_exit,36
2025-03-23 15:15:00,2025-03-23 19:20:00,-0.0009264805167114149,signal_exit_th,49
2025-03-24 18:15:00,2025-03-24 23:35:00,0.010657653273924499,signal_exit_th,64
2025-03-25 13:45:00,2025-03-25 23:25:00,-0.004934798273705046,signal_exit_th,116
2025-03-27 15:15:00,2025-03-27 18:15:00,-0.006755627143080368,early_exit,36
2025-03-29 01:40:00,2025-03-29 05:05:00,0.0014390617240225168,signal_exit_th,41
2025-03-31 16:30:00,2025-03-31 20:30:00,0.007313758115522904,signal_exit_th,48
2025-04-01 12:05:00,2025-04-01 15:20:00,-0.011540541696607492,signal_exit_th,39
2025-04-01 18:40:00,2025-04-01 21:40:00,-0.004643759069252129,signal_exit_th,36
2025-04-02 14:00:00,2025-04-02 19:40:00,-0.009585048275767406,signal_exit_th,68
2025-04-02 20:40:00,2025-04-02 23:40:00,0.029820397507801414,signal_exit_th,36
2025-04-04 08:35:00,2025-04-04 11:35:00,-0.028326575007899774,early_exit,36
2025-04-07 15:45:00,2025-04-07 19:55:00,0.006329748319364518,signal_exit_th,50
2025-04-08 15:10:00,2025-04-08 18:15:00,0.009858817574390666,signal_exit_th,37
2025-04-09 18:50:00,2025-04-09 22:30:00,-0.01652955935885525,signal_exit_th,44
2025-04-10 14:20:00,2025-04-10 17:40:00,0.02317231702585912,signal_exit_th,40
2025-04-11 12:10:00,2025-04-11 16:10:00,-0.00537312507398616,signal_exit_th,48
2025-04-12 14:10:00,2025-04-12 17:10:00,-0.0028111969652297214,early_exit,36
2025-04-13 00:00:00,2025-04-13 03:35:00,-0.004770264519322867,signal_exit_th,43
2025-04-13 21:35:00,2025-04-14 00:35:00,-0.02515955252111711,signal_exit_th,36
2025-04-14 14:40:00,2025-04-14 17:40:00,0.008610386194854375,signal_exit_th,36
2025-04-15 14:05:00,2025-04-15 18:50:00,0.015405754669228779,signal_exit_th,57
2025-04-16 14:00:00,2025-04-16 20:55:00,-0.005737845595664408,signal_exit_th,83
2025-04-17 16:10:00,2025-04-17 19:10:00,0.0019055563240098045,early_exit,36
2025-04-19 16:45:00,2025-04-19 19:45:00,-0.00659188214425583,signal_exit_th,36
2025-04-20 21:05:00,2025-04-21 02:40:00,-0.027713295090290763,signal_exit_th,67
2025-04-21 14:35:00,2025-04-21 17:35:00,-0.016721125199847253,early_exit,36
2025-04-21 18:35:00,2025-04-21 21:35:00,-0.004621648196869284,signal_exit_th,36
2025-04-22 05:15:00,2025-04-22 08:15:00,-0.007066899362517779,signal_exit_th,36
2025-04-22 14:45:00,2025-04-22 17:45:00,0.004449629173397407,early_exit,36
2025-04-24 15:05:00,2025-04-24 19:50:00,-0.004845290567135567,signal_exit_th,57
2025-04-25 01:20:00,2025-04-25 04:20:00,0.0020238635986159783,signal_exit_th,36
2025-04-25 12:15:00,2025-04-25 19:20:00,-0.003898700620082252,signal_exit_th,85
2025-04-27 01:35:00,2025-04-27 04:35:00,0.00219089778789016,signal_exit_th,36
2025-04-27 23:05:00,2025-04-28 02:35:00,0.0008467892563712529,signal_exit_th,42
2025-04-28 10:40:00,2025-04-28 15:45:00,0.01439495842846607,signal_exit_th,61
2025-04-29 18:05:00,2025-04-29 22:20:00,0.008316902539126661,signal_exit_th,51
2025-04-30 13:55:00,2025-04-30 17:40:00,-0.015298758811192768,signal_exit_th,45
2025-05-01 13:35:00,2025-05-01 20:45:00,-0.0052058540773115,signal_exit_th,86
2025-05-07 02:55:00,2025-05-07 05:55:00,0.00046714519678192656,signal_exit_th,36
2025-05-07 13:45:00,2025-05-07 17:20:00,-0.00012345390510872786,signal_exit_th,43
2025-05-08 02:30:00,2025-05-08 06:05:00,-0.0042339126146080765,signal_exit_th,43
2025-05-08 15:40:00,2025-05-08 19:05:00,-0.0032494729316143527,early_exit,41
2025-05-08 20:20:00,2025-05-09 03:20:00,-0.015041082329263922,signal_exit_th,84
2025-05-09 07:50:00,2025-05-09 10:50:00,-0.006271495724194612,early_exit,36
2025-05-09 12:10:00,2025-05-09 15:10:00,-0.0035200290639534064,signal_exit_th,36
2025-05-10 07:05:00,2025-05-10 11:40:00,0.0019793440866643273,signal_exit_th,55
2025-05-11 01:35:00,2025-05-11 04:50:00,0.001117886454409386,signal_exit_th,39
2025-05-13 14:35:00,2025-05-13 17:35:00,-0.00850147066941925,signal_exit_th,36
2025-05-13 21:35:00,2025-05-14 00:35:00,0.0032673733865992245,signal_exit_th,36
2025-05-14 12:50:00,2025-05-14 18:35:00,0.005446323448077016,signal_exit_th,69
2025-05-16 14:50:00,2025-05-16 19:45:00,-0.0035785840931333666,signal_exit_th,59
2025-05-18 09:55:00,2025-05-18 13:30:00,-0.0030777204802474173,signal_exit_th,43
2025-05-18 14:30:00,2025-05-18 17:30:00,0.0035695889870972666,early_exit,36
