entry_ts,exit_ts,exit_reason,holding_bars,entry_price,exit_price,net_return,max_favorable_excursion,max_adverse_excursion,be_armed,be_arm_ts
2026-02-02 03:10:00,2026-02-02 06:10:00,signal_exit_th,36,75890.1,75647.75,0.0011978249212091035,0.016946874493511087,-0.009634721788480882,False,
2026-02-02 17:15:00,2026-02-02 21:30:00,signal_exit_th,51,79109.39,78484.18,0.005916927364937635,0.015439254429847069,-0.001322219776944378,False,
2026-02-03 03:20:00,2026-02-03 06:55:00,signal_exit_th,43,78117.31,78594.17,-0.008118631909952921,0.0021417788195727382,-0.011299416224137871,False,
2026-02-04 18:15:00,2026-02-04 21:15:00,early_exit,36,72882.38,73308.13,0.0038319304307873787,0.017310356769359003,-0.0022345592995179435,False,
2026-02-05 12:30:00,2026-02-05 15:30:00,signal_exit_th,36,69609.16,66984.86,0.03577397250844824,0.04150330215161351,-0.018142439874292263,False,
2026-02-06 15:15:00,2026-02-06 20:15:00,signal_exit_th,60,68186.71,70419.44,-0.034811913639180535,0.003273658459251094,-0.04859143372660146,False,
2026-02-09 01:05:00,2026-02-09 04:05:00,signal_exit_th,36,70460.32,71100.0,-0.01109876228694873,0.005565401916994046,-0.01409601886565363,False,
2026-02-09 15:15:00,2026-02-09 18:15:00,early_exit,36,69390.79,70507.05,0.014056429869537116,0.02336347518164884,-0.008802176773026991,False,
2026-02-10 16:15:00,2026-02-10 20:05:00,signal_exit_th,46,69503.62,68967.67,0.005724544801933804,0.012934434206448395,-0.007050424136181667,False,
2026-02-11 18:25:00,2026-02-11 21:25:00,early_exit,36,66917.96,68202.84,0.01716445912891808,0.020335497376190153,-0.0018208863509886705,False,
2026-02-13 13:50:00,2026-02-13 19:50:00,time_stop,72,67360.12,68995.61,-0.02633040661669472,0.007313674619344416,-0.031514937918756765,False,
2026-02-14 08:20:00,2026-02-14 11:20:00,early_exit,36,69525.46,70334.79,0.009619511313566833,0.01384442476180659,-0.0007841731647658868,False,
2026-02-16 16:40:00,2026-02-16 19:40:00,early_exit,36,67927.66,68096.25,0.0004789441656543068,0.004676739931862705,-0.004809969900332361,False,
2026-02-17 18:30:00,2026-02-17 21:30:00,signal_exit_th,36,67790.85,67576.55,0.0011655202967894886,0.00452406187560714,-0.00655752214347502,False,
2026-02-18 11:15:00,2026-02-18 14:15:00,signal_exit_th,36,67312.63,67140.08,0.0005665419019496131,0.003874755747918436,-0.005602663274336333,False,
2026-02-20 06:05:00,2026-02-20 12:05:00,time_stop,72,67845.79,67423.49,0.00423486907644555,0.008392267228371726,-0.006965796993446548,False,
2026-02-21 17:55:00,2026-02-21 20:55:00,signal_exit_th,36,68437.45,68211.19,0.0013107013931854033,0.0036157104041719423,-0.0032299566976853014,False,
2026-02-24 18:30:00,2026-02-24 21:30:00,signal_exit_th,36,64360.96,63897.51,0.0052132077746673364,0.008397326578099506,-0.005937605654110838,False,
2026-02-25 17:25:00,2026-02-25 20:55:00,signal_exit_th,42,68565.44,69148.69,-0.010525504041333702,0.002801848861467243,-0.014359420722743085,False,
2026-02-28 18:55:00,2026-02-28 21:55:00,signal_exit_th,36,65911.84,66723.22,-0.014336726451879136,0.004690962959007097,-0.018810580921424687,False,
2026-03-02 15:25:00,2026-03-02 18:25:00,early_exit,36,68556.0,69089.06,0.005762003618646398,0.022463387595542332,-0.0018088861660539525,False,
2026-03-03 17:10:00,2026-03-03 20:20:00,signal_exit_th,38,67941.36,68336.84,-0.007834557484431973,0.0025736900173914767,-0.01431602193420906,False,
