entry_time,exit_time,pnl,exit_reason,holding_bars,top1_proba,top2_proba,proba_gap
2024-03-13 08:20:00,2024-03-13 11:20:00,-0.0033406513763348366,early_exit,36,0.5768248,0.3805057108402252,0.1963190734386444
2024-03-14 08:25:00,2024-03-14 11:25:00,0.00658894406316812,signal_exit_th,36,0.64921534,0.18335966765880585,0.4658556580543518
2024-03-15 19:10:00,2024-03-15 22:10:00,-0.028842042200861378,early_exit,36,0.5778554,0.3574236333370209,0.22043177485466003
2024-03-19 04:55:00,2024-03-19 07:55:00,-0.01172674201535942,early_exit,36,0.6107052,0.2810007929801941,0.3297044038772583
2024-03-21 15:15:00,2024-03-21 19:10:00,0.016267657791456478,signal_exit_th,47,0.65009785,0.2405637502670288,0.4095340967178345
2024-03-23 19:15:00,2024-03-23 22:15:00,0.004964991481714261,signal_exit_th,36,0.63565785,0.23185384273529053,0.4038040041923523
2024-03-24 08:30:00,2024-03-24 11:30:00,0.0019708469486239585,early_exit,36,0.61708385,0.273515909910202,0.34356793761253357
2024-03-24 12:30:00,2024-03-24 18:25:00,-0.004225546345912333,signal_exit_th,71,0.61915684,0.31880733370780945,0.30034950375556946
2024-03-25 14:20:00,2024-03-25 17:20:00,0.019605392943965246,early_exit,36,0.59246916,0.35274621844291687,0.23972293734550476
2024-03-25 18:20:00,2024-03-25 21:20:00,0.00905740256990545,signal_exit_th,36,0.8341318,0.157487154006958,0.6766446232795715
2024-03-26 08:50:00,2024-03-26 13:05:00,-0.0076838073722159525,signal_exit_th,51,0.5854474,0.35656094551086426,0.2288864254951477
2024-03-26 14:25:00,2024-03-26 17:55:00,-0.008916596047549144,signal_exit_th,42,0.6006564,0.31814852356910706,0.28250786662101746
2024-03-28 16:15:00,2024-03-28 19:20:00,-0.003249632079933302,signal_exit_th,37,0.6294667,0.26001960039138794,0.36944711208343506
2024-03-31 05:30:00,2024-03-31 10:15:00,-0.0033370640097310444,signal_exit_th,57,0.5855267,0.3770434260368347,0.2084832787513733
2024-03-31 15:40:00,2024-03-31 18:40:00,-0.01001587464554683,signal_exit_th,36,0.649854,0.19258759915828705,0.4572663903236389
2024-03-31 21:25:00,2024-04-01 00:25:00,-0.006340374177011325,signal_exit_th,36,0.6408438,0.2205640822649002,0.42027974128723145
2024-04-02 02:40:00,2024-04-02 05:40:00,-0.00012707922027819978,signal_exit_th,36,0.61712307,0.2737746238708496,0.3433484435081482
2024-04-04 03:20:00,2024-04-04 06:20:00,-0.0007946989837843938,signal_exit_th,36,0.64774233,0.18428939580917358,0.46345293521881104
2024-04-04 16:55:00,2024-04-04 22:55:00,-0.003914309805061876,time_stop,72,0.58317935,0.40083882212638855,0.18234053254127502
2024-04-06 23:25:00,2024-04-07 02:25:00,0.0013583386790416482,early_exit,36,0.5791573,0.3767533004283905,0.2024039924144745
2024-04-07 03:25:00,2024-04-07 06:25:00,0.0010276652726090708,signal_exit_th,36,0.62654257,0.2997283935546875,0.3268141746520996
2024-04-07 18:30:00,2024-04-07 21:30:00,0.0008157433730923038,signal_exit_th,36,0.57872486,0.39418506622314453,0.184539794921875
2024-04-08 08:00:00,2024-04-08 11:00:00,0.016142518487382875,early_exit,36,0.57758206,0.39355894923210144,0.18402311205863953
2024-04-08 12:00:00,2024-04-08 15:05:00,0.007322301133802809,signal_exit_th,37,0.68398833,0.3096720576286316,0.3743162751197815
2024-04-09 14:30:00,2024-04-09 18:05:00,0.011706056622212834,signal_exit_th,43,0.6291568,0.26124462485313416,0.3679122030735016
2024-04-10 13:05:00,2024-04-10 16:05:00,-0.01953427156989029,signal_exit_th,36,0.5876332,0.3259132206439972,0.2617199718952179
2024-04-12 18:35:00,2024-04-12 21:35:00,-0.01245383052585166,signal_exit_th,36,0.60580224,0.34240302443504333,0.263399213552475
2024-04-13 17:40:00,2024-04-13 22:20:00,0.0593026205743461,signal_exit_th,56,0.64446366,0.19635316729545593,0.4481104910373688
2024-04-14 18:10:00,2024-04-14 22:35:00,-0.01955574220004935,signal_exit_th,53,0.61698407,0.2937365770339966,0.323247492313385
2024-04-15 06:35:00,2024-04-15 09:35:00,0.0041802705973272136,early_exit,36,0.60452545,0.30369287729263306,0.3008325695991516
2024-04-15 11:10:00,2024-04-15 14:10:00,0.013797253535221883,signal_exit_th,36,0.5869086,0.32732298970222473,0.25958558917045593
2024-04-15 18:20:00,2024-04-15 21:20:00,-0.010095302397083781,early_exit,36,0.5766656,0.3328487277030945,0.24381685256958008
2024-04-16 11:00:00,2024-04-16 15:55:00,0.015027088205506219,signal_exit_th,59,0.62978524,0.23971283435821533,0.39007240533828735
2024-04-17 16:00:00,2024-04-17 20:20:00,0.019115565708124376,early_exit,52,0.57526577,0.3513098359107971,0.2239559292793274
2024-04-18 14:10:00,2024-04-18 19:45:00,0.00099664443640777,signal_exit_th,67,0.58763784,0.32152628898620605,0.2661115527153015
2024-04-19 05:30:00,2024-04-19 08:30:00,0.036350736829082825,early_exit,36,0.6229728,0.26495227217674255,0.35802051424980164
2024-04-20 16:20:00,2024-04-20 21:30:00,-0.001665268121208618,signal_exit_th,62,0.584972,0.38972005248069763,0.1952519714832306
2024-04-21 16:15:00,2024-04-21 19:15:00,-0.004849436214239666,signal_exit_th,36,0.63508326,0.2546864449977875,0.3803968131542206
2024-04-22 03:10:00,2024-04-22 06:25:00,-0.020055214378780245,signal_exit_th,39,0.63619125,0.2181994765996933,0.4179917722940445
2024-04-23 16:30:00,2024-04-23 20:55:00,0.0018743446996566612,signal_exit_th,53,0.59371465,0.35194775462150574,0.24176689982414246
2024-04-26 16:30:00,2024-04-26 19:30:00,-0.00046531667467915755,signal_exit_th,36,0.62154967,0.26497119665145874,0.3565784692764282
2024-04-27 15:35:00,2024-04-27 20:15:00,-0.0057043776730454805,signal_exit_th,56,0.64701,0.18314771354198456,0.4638622999191284
2024-04-27 21:30:00,2024-04-28 00:30:00,-0.00846292672168088,signal_exit_th,36,0.6366375,0.22072993218898773,0.4159075617790222
2024-04-28 03:25:00,2024-04-28 07:45:00,0.0015818913938678665,signal_exit_th,52,0.5786354,0.36549878120422363,0.21313661336898804
2024-04-30 01:35:00,2024-04-30 04:35:00,0.007591179109509043,signal_exit_th,36,0.59723645,0.3490005135536194,0.24823594093322754
