entry_time,exit_time,pnl,exit_reason,holding_bars
2025-03-03 14:50:00,2025-03-03 20:05:00,0.04946608562589402,signal_exit_th,63
2025-03-04 01:55:00,2025-03-04 06:00:00,-0.01083861883856602,signal_exit_th,49
2025-03-04 14:40:00,2025-03-04 19:50:00,-0.05010360185303651,signal_exit_th,62
2025-03-05 10:40:00,2025-03-05 13:40:00,-0.009502639622117256,early_exit,36
2025-03-07 00:45:00,2025-03-07 03:45:00,-0.014916465827014284,signal_exit_th,36
2025-03-10 14:10:00,2025-03-10 17:10:00,0.019501191832367978,signal_exit_th,36
2025-03-11 17:10:00,2025-03-11 20:10:00,0.018227907783387166,early_exit,36
2025-03-12 14:10:00,2025-03-12 17:10:00,0.00030200931367127347,signal_exit_th,36
2025-03-13 12:45:00,2025-03-13 16:15:00,0.020656851779074385,signal_exit_th,42
2025-03-14 03:20:00,2025-03-14 06:20:00,0.0010748337939937359,signal_exit_th,36
2025-03-14 14:10:00,2025-03-14 17:10:00,-0.018817360094569358,signal_exit_th,36
2025-03-14 18:35:00,2025-03-14 21:45:00,0.0053801975969334235,signal_exit_th,38
2025-03-18 14:00:00,2025-03-18 18:50:00,-0.0053607930198600355,signal_exit_th,58
2025-03-19 01:00:00,2025-03-19 04:00:00,0.0007876841844095642,signal_exit_th,36
2025-03-19 16:20:00,2025-03-19 22:20:00,-0.012910625737898451,time_stop,72
2025-03-20 18:25:00,2025-03-20 21:25:00,0.005319352889664616,early_exit,36
2025-03-21 16:40:00,2025-03-21 19:40:00,-0.000439902548703339,signal_exit_th,36
2025-03-22 21:20:00,2025-03-23 00:35:00,7.664423910244274e-05,signal_exit_th,39
2025-03-23 11:15:00,2025-03-23 14:15:00,0.0017075170707506974,early_exit,36
2025-03-23 15:15:00,2025-03-23 19:20:00,0.0010733725912140668,signal_exit_th,49
2025-03-24 18:15:00,2025-03-24 23:35:00,0.012634361259391201,signal_exit_th,64
2025-03-25 13:45:00,2025-03-25 19:45:00,-0.011861312193097544,time_stop,72
2025-03-27 15:15:00,2025-03-27 18:15:00,-0.004767149920143536,early_exit,36
