trade_id,entry_ts,exit_ts,side,entry_price,exit_price,holding_bars,p_long,margin,entropy,p_diff,guard_scale,stage2_cap,final_scale,cap_reason,realized_profit,scaled_profit
15,2021-01-03 17:00:00,2021-01-03 18:00:00,LONG,32905.38,32844.03,12,0.43113794922828674,0.06886205077171326,0.6836329698562622,0.04760757088661194,0.07856705039739609,1.0,0.07856705039739609,no_cap,-0.003659465245954921,-0.00028751339414156973
16,2021-01-04 00:50:00,2021-01-04 01:50:00,LONG,32797.83,33225.55,12,0.412569135427475,0.08743086457252502,0.677780032157898,0.005509316921234131,0.09415687620639801,1.0,0.09415687620639801,no_cap,0.011219272341850486,0.0010563716059550643
17,2021-01-04 02:55:00,2021-01-04 03:55:00,LONG,33454.22,33505.16,12,0.3406333327293396,0.1593666672706604,0.6414546966552734,0.007707387208938599,0.16178809106349945,1.0,0.16178809106349945,no_cap,-0.00027844195582494934,-4.504859316512011e-05
18,2021-01-04 06:55:00,2021-01-04 07:55:00,LONG,33100.02,32068.84,12,0.33983489871025085,0.16016510128974915,0.640925943851471,0.013373464345932007,0.16362564265727997,1.0,0.16362564265727997,no_cap,-0.03289581115641389,-0.005382598377764225
19,2021-01-04 08:55:00,2021-01-04 09:55:00,LONG,32045.14,31038.63,12,0.39778250455856323,0.10221749544143677,0.6721022725105286,0.023843616247177124,0.10868419706821442,1.0,0.10868419706821442,no_cap,-0.03315102685252829,-0.003602992743253708
20,2021-01-04 18:50:00,2021-01-04 19:50:00,LONG,31132.48,31644.94,12,0.3849150240421295,0.11508497595787048,0.6664190292358398,0.0024734437465667725,0.11988888680934906,0.8,0.09591110795736313,mid_entropy(0.6664)_small_pdiff(0.0025),0.014632638540391374,0.001403432572260499
21,2021-01-04 20:50:00,2021-01-04 21:50:00,LONG,31408.47,30985.67,12,0.3943367898464203,0.10566321015357971,0.670648455619812,0.034657955169677734,0.1114274337887764,1.0,0.1114274337887764,no_cap,-0.015235509859317807,-0.0016976537881419063
22,2021-01-04 22:50:00,2021-01-04 23:50:00,LONG,31350.0,31920.48,12,0.38984936475753784,0.11015063524246216,0.6686806678771973,0.01024550199508667,0.11523275822401047,1.0,0.11523275822401047,no_cap,0.016366022350219715,0.0018859017873182893
23,2021-01-05 00:50:00,2021-01-05 01:50:00,LONG,32533.31,32568.1,12,0.458444744348526,0.041555255651474,0.6896895170211792,0.023415207862854004,0.05398276448249817,1.0,0.05398276448249817,no_cap,-0.0007309390627512416,-3.9458111132262275e-05
24,2021-01-05 03:45:00,2021-01-05 04:45:00,LONG,31435.34,31417.27,12,0.44985952973365784,0.05014047026634216,0.6881105899810791,0.007184803485870361,0.06050235778093338,1.0,0.06050235778093338,no_cap,-0.0023721784395457956,-0.00014352239668369293
25,2021-01-05 05:45:00,2021-01-05 06:45:00,LONG,30565.7,31223.93,12,0.42334938049316406,0.07665061950683594,0.6813501119613647,0.012390285730361938,0.08318332582712173,1.0,0.08318332582712173,no_cap,0.0196978136696705,0.0016385295893996954
26,2021-01-05 07:45:00,2021-01-05 08:45:00,LONG,30842.15,31106.99,12,0.4224936068058014,0.07750639319419861,0.6810840964317322,0.023263782262802124,0.08346869051456451,1.0,0.08346869051456451,no_cap,0.006773125933522458,0.0005653439438901842
